Index, Pos_J1, Pos_J2, Pos_J3, Pos_J4, Pos_J5, Vel_J1, Vel_J2, Vel_J3, Vel_J4, Vel_J5
0, -98.17, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
1, -98.15, 0.00, 0.00, 0.00, 0.00, 0.57, 0.00, 0.00, 0.00, 0.00
2, -98.06, 0.00, 0.00, 0.00, 0.00, 1.15, 0.00, 0.00, 0.00, 0.00
3, -97.92, 0.00, 0.00, 0.00, 0.00, 1.72, 0.00, 0.00, 0.00, 0.00
4, -97.72, 0.00, 0.00, 0.00, 0.00, 2.29, 0.00, 0.00, 0.00, 0.00
5, -97.46, 0.00, 0.00, 0.00, 0.00, 2.86, 0.00, 0.00, 0.00, 0.00
6, -97.14, 0.00, 0.00, 0.00, 0.00, 3.44, 0.00, 0.00, 0.00, 0.00
7, -96.77, 0.00, 0.00, 0.00, 0.00, 4.01, 0.00, 0.00, 0.00, 0.00
8, -96.34, 0.00, 0.00, 0.00, 0.00, 4.58, 0.00, 0.00, 0.00, 0.00
9, -95.85, 0.00, 0.00, 0.00, 0.00, 5.16, 0.00, 0.00, 0.00, 0.00
10, -95.31, 0.00, 0.00, 0.00, 0.00, 5.73, 0.00, 0.00, 0.00, 0.00
11, -94.74, 0.00, 0.00, 0.00, 0.00, 5.73, 0.00, 0.00, 0.00, 0.00
12, -94.16, 0.00, 0.00, 0.00, 0.00, 5.73, 0.00, 0.00, 0.00, 0.00
13, -93.59, 0.00, 0.00, 0.00, 0.00, 5.73, 0.00, 0.00, 0.00, 0.00
14, -93.02, 0.00, 0.00, 0.00, 0.00, 5.73, 0.00, 0.00, 0.00, 0.00
15, -92.44, 0.00, 0.00, 0.00, 0.00, 5.73, 0.00, 0.00, 0.00, 0.00
16, -91.87, 0.00, 0.00, 0.00, 0.00, 5.73, 0.00, 0.00, 0.00, 0.00
17, -91.30, 0.00, 0.00, 0.00, 0.00, 5.73, 0.00, 0.00, 0.00, 0.00
18, -90.73, 0.00, 0.00, 0.00, 0.00, 5.73, 0.00, 0.00, 0.00, 0.00
19, -90.15, 0.00, 0.00, 0.00, 0.00, 5.73, 0.00, 0.00, 0.00, 0.00
20, -89.58, 0.00, 0.00, 0.00, 0.00, 5.73, 0.00, 0.00, 0.00, 0.00
21, -89.01, 0.00, 0.00, 0.00, 0.00, 5.73, 0.00, 0.00, 0.00, 0.00
22, -88.43, 0.00, 0.00, 0.00, 0.00, 5.73, 0.00, 0.00, 0.00, 0.00
23, -87.86, 0.00, 0.00, 0.00, 0.00, 5.73, 0.00, 0.00, 0.00, 0.00
24, -87.29, 0.00, 0.00, 0.00, 0.00, 5.73, 0.00, 0.00, 0.00, 0.00
