Index, Pos_J1, Pos_J2, Pos_J3, Pos_J4, Pos_J5, Vel_J1, Vel_J2, Vel_J3, Vel_J4, Vel_J5
0, 0.00, 0.06, 0.13, -0.07, -0.11, 0.00, -0.00, 0.00, 0.00, -0.00
1, 0.29, -0.01, 0.27, 0.00, -0.13, 5.73, -1.36, 2.83, 1.52, -0.38
2, 0.86, -0.14, 0.56, 0.16, -0.17, 5.73, -1.36, 2.83, 1.52, -0.38
3, 1.43, -0.28, 0.84, 0.31, -0.20, 5.73, -1.36, 2.83, 1.52, -0.38
4, 2.01, -0.41, 1.12, 0.46, -0.24, 5.73, -1.36, 2.83, 1.52, -0.38
5, 2.58, -0.55, 1.41, 0.61, -0.28, 5.73, -1.36, 2.83, 1.52, -0.38
6, 3.15, -0.68, 1.69, 0.76, -0.32, 5.73, -1.36, 2.83, 1.52, -0.38
7, 3.72, -0.82, 1.97, 0.92, -0.35, 5.73, -1.36, 2.83, 1.52, -0.38
8, 4.30, -0.96, 2.26, 1.07, -0.39, 5.73, -1.36, 2.83, 1.52, -0.38
9, 4.87, -1.09, 2.54, 1.22, -0.43, 5.73, -1.36, 2.83, 1.52, -0.38
10, 5.44, -1.23, 2.82, 1.37, -0.47, 5.73, -1.36, 2.83, 1.52, -0.38
11, 6.02, -1.36, 3.11, 1.53, -0.51, 5.73, -1.36, 2.83, 1.52, -0.38
12, 6.59, -1.50, 3.39, 1.68, -0.54, 5.73, -1.36, 2.83, 1.52, -0.38
13, 7.16, -1.63, 3.67, 1.83, -0.58, 5.73, -1.36, 2.83, 1.52, -0.38
14, 7.73, -1.77, 3.96, 1.98, -0.62, 5.73, -1.36, 2.83, 1.52, -0.38
15, 8.31, -1.90, 4.24, 2.13, -0.66, 5.73, -1.36, 2.83, 1.52, -0.38
16, 8.88, -2.04, 4.52, 2.29, -0.69, 5.73, -1.36, 2.83, 1.52, -0.38
17, 9.45, -2.18, 4.81, 2.44, -0.73, 5.73, -1.36, 2.83, 1.52, -0.38
18, 10.03, -2.31, 5.09, 2.59, -0.77, 5.73, -1.36, 2.83, 1.52, -0.38
19, 10.60, -2.45, 5.37, 2.74, -0.81, 5.73, -1.36, 2.83, 1.52, -0.38
20, 11.17, -2.58, 5.66, 2.89, -0.84, 5.73, -1.36, 2.83, 1.52, -0.38
21, 11.75, -2.72, 5.94, 3.05, -0.88, 5.73, -1.36, 2.83, 1.52, -0.38
22, 12.32, -2.85, 6.22, 3.20, -0.92, 5.73, -1.36, 2.83, 1.52, -0.38
23, 12.89, -2.99, 6.51, 3.35, -0.96, 5.73, -1.36, 2.83, 1.52, -0.38
24, 13.46, -3.12, 6.79, 3.50, -0.99, 5.73, -1.36, 2.83, 1.52, -0.38
25, 14.04, -3.26, 7.07, 3.65, -1.03, 5.73, -1.36, 2.83, 1.52, -0.38
