Index,J1,J2,J3,J4,J5,V1,V2,V3,V4,V5
0,-83.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1,-82.95,0.00,0.00,0.00,0.00,5.72,0.00,0.00,0.00,0.00
2,-82.37,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
3,-81.80,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
4,-81.23,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
5,-80.65,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
6,-80.08,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
7,-79.51,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
8,-78.93,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
9,-78.36,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
10,-77.79,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
11,-77.22,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
12,-76.64,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
13,-76.07,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
14,-75.50,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
15,-74.92,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
16,-74.35,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
17,-73.78,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
18,-73.21,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
19,-72.63,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
20,-72.06,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
21,-71.49,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
22,-70.91,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
23,-70.34,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
24,-69.77,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
25,-69.19,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
26,-68.62,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
27,-68.05,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
28,-67.48,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
29,-66.90,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
30,-66.33,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
31,-65.76,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
32,-65.18,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
33,-64.61,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
34,-64.04,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
35,-63.46,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
36,-62.89,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
37,-62.32,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
38,-61.75,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
